a_i,p_a,f_a,lockdownrelief_percent,new_beta,new_f_a,nDet_T1,nDet_T1_lower_CI,nDet_T1_upper_CI,nTotal_T1,nTotal_T1_lower_CI,nTotal_T1_upper_CI,nSymp_T1,nSymp_T1_lower_CI,nSymp_T1_upper_CI,nDet_T2,nDet_T2_lower_CI,nDet_T2_upper_CI,nTotal_T2,nTotal_T2_lower_CI,nTotal_T2_upper_CI,nSymp_T2,nSymp_T2_lower_CI,nSymp_T2_upper_CI,nDet_T3,nDet_T3_lower_CI,nDet_T3_upper_CI,nTotal_T3,nTotal_T3_lower_CI,nTotal_T3_upper_CI,nSymp_T3,nSymp_T3_lower_CI,nSymp_T3_upper_CI,nDet_T4,nDet_T4_lower_CI,nDet_T4_upper_CI,nTotal_T4,nTotal_T4_lower_CI,nTotal_T4_upper_CI,nSymp_T4,nSymp_T4_lower_CI,nSymp_T4_upper_CI,nDet_T5,nDet_T5_lower_CI,nDet_T5_upper_CI,nTotal_T5,nTotal_T5_lower_CI,nTotal_T5_upper_CI,nSymp_T5,nSymp_T5_lower_CI,nSymp_T5_upper_CI,nDet_T6,nDet_T6_lower_CI,nDet_T6_upper_CI,nTotal_T6,nTotal_T6_lower_CI,nTotal_T6_upper_CI,nSymp_T6,nSymp_T6_lower_CI,nSymp_T6_upper_CI,nDet_T7,nDet_T7_lower_CI,nDet_T7_upper_CI,nTotal_T7,nTotal_T7_lower_CI,nTotal_T7_upper_CI,nSymp_T7,nSymp_T7_lower_CI,nSymp_T7_upper_CI
0.5,0.2,0.1,20.0,50.0,10.0,28854,26843,30940,38713,35328,42358,28239,26264,30290,44981,41057,49593,79054,73433,86226,44042,40196,48567,170989,146751,206939,399274,312014,538966,167983,144076,203450,1174287,738626,1958892,2968342,1667078,5448399,1154904,726010,1927857,9287444,4116872,20126614,23703101,9351031,54569104,9135646,4047435,19806462,69224550,23019448,169659374,164326579,51583726,400870634,68074948,22630385,166872915,321480829,114394188,623385228,593284003,238730235,989272197,315684213,112415389,611545859,
0.5,0.4,0.1,40.0,50.0,10.0,29210,27136,31579,49755,45387,54843,27615,25633,29880,48190,44230,52869,104556,97640,112895,45658,41899,50100,184907,158001,220448,495156,387134,635373,176594,150689,210916,1154298,719511,1804652,3276922,1865168,5519286,1105127,687579,1730539,8083167,3587650,16220960,23087698,9322791,48942750,7741924,3427235,15555853,53708874,17689980,123983278,145526908,45966423,335153310,51408904,16907311,118732654,237774116,81504994,453168038,529710886,199950099,897292282,226779304,77829741,431197732,
0.5,0.6,0.1,60.0,50.0,10.0,28930,26895,31198,67850,62144,74435,25596,23756,27651,50068,46272,54391,147117,137640,158389,44602,41238,48424,206251,169357,252973,723177,551870,947848,186754,152309,229734,1335141,784764,2194300,4904004,2649916,8575657,1214501,710707,2002264,9509228,3923407,19988569,34927720,13263326,76940540,8655000,3554987,18228932,60565788,19156966,137006354,206581385,63769407,456282699,54988105,17347996,124310920,223225135,82228191,381620307,625098360,257218830,960888870,200583419,74278891,340567897,
0.5,0.8,0.1,80.0,50.0,10.0,29652,27783,31673,115182,106540,124803,22011,20559,23606,52007,48418,56165,239592,223871,257990,39205,36406,42374,186370,156298,225382,981385,776035,1248967,144857,120159,176514,974906,613493,1532429,5344662,3166629,8789796,765137,473942,1213004,5585756,2595411,10917273,30685250,13488296,62096369,4390222,2020343,8570989,29546033,10921022,63520791,155068079,55381443,330571156,23115771,8499782,49766958,104900495,40915354,186441870,482757033,199667186,796842149,80562565,31691371,141506344,
0.5,0.2,0.1,20.0,30.0,10.0,28854,26843,30940,38713,35328,42358,28239,26264,30290,36766,33438,40538,50915,46576,56013,35941,32686,39635,52115,48740,56408,75435,70440,81048,50971,47673,55172,82051,73317,95006,123443,104791,156260,80292,71705,93048,141251,107933,204133,219042,154694,347183,138283,105591,199889,260415,160473,477917,412900,231046,826951,255021,156991,468491,504772,242669,1161936,813478,347036,2010523,494419,237388,1139167,
0.5,0.4,0.1,40.0,30.0,10.0,29210,27136,31579,49755,45387,54843,27615,25633,29880,37998,34548,42015,66472,60729,72978,35827,32564,39620,54101,50805,58064,97059,91023,103545,51058,47947,54771,82351,74949,92518,150809,131599,177639,77791,70722,87547,132362,104226,172894,246325,183278,341671,125123,98307,163686,221915,145646,349284,418009,256035,697257,209891,137361,331099,384090,203444,727342,730065,356651,1460904,363424,191843,689812,
0.5,0.6,0.1,60.0,30.0,10.0,28930,26895,31198,67850,62144,74435,25596,23756,27651,38011,34843,41739,91360,83816,99998,33464,30677,36755,54519,51279,58323,133565,124974,142722,48088,45232,51461,82803,73992,94617,206071,177385,244751,73157,65099,83821,131818,102432,175851,332167,245919,470183,116616,90206,156412,217804,139556,349848,554156,334737,940780,192879,122960,311372,370466,191807,718941,949617,457630,1943667,328325,168863,640265,
0.5,0.8,0.1,80.0,30.0,10.0,29652,27783,31673,115182,106540,124803,22011,20559,23606,39095,36202,42459,151937,141244,164446,28675,26540,31175,52882,49683,56754,206099,193006,220357,38793,36421,41600,72047,66283,79013,281531,254607,316070,52867,48472,58424,98894,84335,120209,387437,320010,486115,72594,61446,88857,136810,103824,189863,537357,392007,775614,100472,75506,140832,190808,126459,304858,751365,478824,1248113,140198,91973,225815,
0.5,0.2,0.1,20.0,100,20.0,28854,26843,30940,38713,35328,42358,28239,26264,30290,115777,104046,127473,451053,390119,531029,112580,100988,124026,9395178,5742687,15322795,44333972,24789133,78845449,9131320,5578734,14900865,433778425,263476105,632215472,1032187978,767148767,1223629514,420120515,255616161,611626427,1029953551,967724228,1071623318,1297820855,1277254670,1311619261,986317057,927888239,1024549836,1092663786,1080384941,1101846375,1305513348,1295080534,1314020418,1041529225,1030284179,1049956595,1096805339,1088388896,1103788052,1306102045,1296414951,1314186533,1044685268,1036738670,1051288000,
0.5,0.4,0.1,40.0,100,20.0,29210,27136,31579,49755,45387,54843,27615,25633,29880,140142,129039,151951,599923,516680,702307,130491,120128,141510,10824681,6528706,17175161,52887605,29185777,89468273,10069974,6063829,15999793,408169908,249758849,564409379,1037897042,770158067,1209615948,375710784,230765655,517526606,841971486,795946775,869642603,1289119268,1264252190,1304476330,751959934,714632678,773751069,880203804,869159430,888006664,1298569751,1286087438,1307939980,777971461,769044964,784324078,883318518,875299491,889472990,1299443679,1288066230,1308262021,779557170,772598504,784917322,
0.5,0.6,0.1,60.0,100,20.0,28930,26895,31198,67850,62144,74435,25596,23756,27651,175991,157807,196354,927634,770607,1114154,151137,134718,168777,16045542,8950813,26840587,91048974,47152926,159061568,13751338,7587278,23064992,415318056,284182903,521718758,1131614466,926036574,1246308052,344358666,238248192,427789745,651517191,625582109,667337994,1286825994,1263357292,1301958638,509337629,493318038,518724320,671200470,662288288,677530587,1294424127,1280167900,1304911236,517383014,511222975,521813010,673286623,666181640,678595104,1295218327,1281936223,1305213525,518044347,512677544,522069378,
0.5,0.8,0.1,80.0,100,20.0,29652,27783,31673,115182,106540,124803,22011,20559,23606,224534,196539,255021,1587234,1325186,1917696,155708,135605,177630,19303705,10934628,31552434,138991955,75942621,233459780,13294211,7418903,21827284,314389493,240681241,370376319,1142295624,991968507,1230525199,198119222,155909582,228077202,443301628,426566010,454729111,1268694781,1243444291,1286574723,252091015,245286399,256530245,458206814,451036619,463627845,1277602387,1260859166,1290674477,255359875,251863390,258059119,460085923,454283135,464681537,1278654234,1263010435,1291138512,255710977,252562211,258218930,
