a_i,p_a,f_a,gamma,delta_a,beta,beta_lower_CI,beta_upper_CI,delta,delta_lower_CI,delta_upper_CI,E0,E0_lower_CI,E0_upper_CI,I0,I0_lower_CI,I0_upper_CI,a,a_lower_CI,a_upper_CI,lambda,lambda_lower_CI,lambda_upper_CI,kappa,kappa_lower_CI,kappa_upper_CI,r0,r0_lower_CI,r0_upper_CI,RMS,Prediction Error
0.25,0.59999999999999998,0.10000000000000001,0.19600000000000001,0.125,1.8999999999999999,1.7350000000000001,2.0640000000000001,0.44400000000000001,0.42199999999999999,0.45600000000000002,36,13,76,44,31,57,4.0000000000000001e-002,3.5000000000000003e-002,4.4999999999999998e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,4.7000000000000002e-003,4.3e-003,5.0000000000000001e-003,3.7639999999999998,3.427,4.1079999999999997,117.873,76.491
0.25,0.59999999999999998,0.20000000000000001,0.19600000000000001,0.125,1.9059999999999999,1.736,2.0579999999999998,0.44500000000000001,0.41399999999999998,0.45900000000000002,40,7,91,39,25,54,3.9e-002,3.4000000000000002e-002,4.2999999999999997e-002,1.9099999999999999e-002,1.83e-002,1.9900000000000001e-002,5.1000000000000004e-003,4.7000000000000002e-003,5.5999999999999999e-003,3.5459999999999998,3.2370000000000001,3.8599999999999999,117.821,76.347999999999999
0.25,0.80000000000000004,5.0000000000000003e-002,0.19600000000000001,0.125,1.883,1.6499999999999999,2.0790000000000002,0.43099999999999999,0.316,0.5,24,1,66,43,32,58,3.7999999999999999e-002,3.3000000000000002e-002,4.2000000000000003e-002,1.9099999999999999e-002,1.83e-002,1.9800000000000002e-002,4.7999999999999996e-003,4.4000000000000003e-003,5.1999999999999998e-003,3.7509999999999999,3.4380000000000002,4.0780000000000003,117.902,75.578999999999994
0.25,0.80000000000000004,0.10000000000000001,0.19600000000000001,0.125,1.8959999999999999,1.702,2.0670000000000002,0.44400000000000001,0.32900000000000001,0.5,30,1,66,38,29,51,3.6999999999999998e-002,3.3000000000000002e-002,4.1000000000000002e-002,1.9099999999999999e-002,1.8499999999999999e-002,1.9800000000000002e-002,5.4000000000000003e-003,4.8999999999999998e-003,5.8999999999999999e-003,3.5960000000000001,3.3109999999999999,3.883,117.839,75.307000000000002
0.25,0.80000000000000004,0.20000000000000001,0.19600000000000001,0.125,1.8720000000000001,1.7130000000000001,2.016,0.44900000000000001,0.436,0.45900000000000002,52,23,82,30,22,39,3.4000000000000002e-002,2.9999999999999999e-002,3.9e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,6.7000000000000002e-003,6.1000000000000004e-003,7.1999999999999998e-003,3.2320000000000002,2.956,3.4889999999999999,118.108,74.861999999999995
0.5,0,5.0000000000000003e-002,0.19600000000000001,0.125,1.7450000000000001,1.5800000000000001,1.9159999999999999,0.44400000000000001,0.41799999999999998,0.45400000000000001,68,31,113,57,38,77,4.2000000000000003e-002,3.5999999999999997e-002,4.7e-002,1.9e-002,1.83e-002,1.9800000000000002e-002,4.1999999999999997e-003,3.8999999999999998e-003,4.5999999999999999e-003,3.9301801801801806,3.7799043062200961,4.2202643171806162,122.864,70.298000000000002
0.5,0,0.10000000000000001,0.19600000000000001,0.125,1.7430000000000001,1.589,1.9159999999999999,0.443,0.41499999999999998,0.45400000000000001,68,28,110,57,37,78,4.2000000000000003e-002,3.5999999999999997e-002,4.8000000000000001e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,4.1999999999999997e-003,3.8999999999999998e-003,4.5999999999999999e-003,3.9345372460496617,3.8289156626506027,4.2202643171806162,122.864,70.298000000000002
0.5,0,0.20000000000000001,0.19600000000000001,0.125,1.74,1.583,1.9039999999999999,0.443,0.41899999999999998,0.45400000000000001,68,27,114,57,36,80,4.2000000000000003e-002,3.5999999999999997e-002,4.8000000000000001e-002,1.9e-002,1.83e-002,1.9800000000000002e-002,4.1999999999999997e-003,3.8999999999999998e-003,4.5999999999999999e-003,3.9277652370203158,3.7780429594272076,4.1938325991189425,122.864,70.298000000000002
0.5,0.20000000000000001,5.0000000000000003e-002,0.19600000000000001,0.125,1.6950000000000001,1.413,1.919,0.40200000000000002,0.27800000000000002,0.45500000000000002,60,36,92,46,30,65,4.8000000000000001e-002,4.2000000000000003e-002,5.6000000000000001e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,4.3e-003,3.8999999999999998e-003,4.5999999999999999e-003,4.6929999999999996,4.1559999999999997,5.4509999999999996,118.20999999999999,75.950000000000003
0.5,0.20000000000000001,0.10000000000000001,0.19600000000000001,0.125,1.7470000000000001,1.552,1.9350000000000001,0.42799999999999999,0.35799999999999998,0.45500000000000002,56,30,98,44,28,59,4.7e-002,4.2000000000000003e-002,5.2999999999999999e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,4.3e-003,4.0000000000000001e-003,4.7000000000000002e-003,4.5279999999999996,4.0830000000000002,5.0759999999999996,118.086,76.122
